"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"CREATED_BY";"DATASHEET-URL";"DESCRIPTION";"DIGIKEY_PART_NUMBER";"GENDER";"HEIGHT";"IR";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MATES";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"PACKAGE";"PACKAGING";"PART-NUMBER";"PINS";"POPULARITY";"PROD_ID";"ROWS";"SF_SKU";"TYPE";
"1";"";"6130XX11121_61301611121";"61301611121";"J2";"WR-PHD 2.54 mm THT Pin Header";"";"";"";"https://katalog.we-online.com/em/datasheet/61301611121.pdf";"";"";"Pin Header";"";"3A";"";"";"";"WR-PHD 2.54mm Angled Socket Header /SMT Socket Header/Socket Header";"";"";"";"";"Bag";" 61301611121 ";" 16 ";"";"";"Single";"";"Straight";
"4";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED5, LED6, LED7, LED8";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";
"2";"0.1u";"CC0805KRX7R9BB104";"CAP_0805";"C14, C15";"CAP CER 0.1UF 50V X7R 0805";"";"";"PCBLayout.com";"";"";"311-1140-2-ND";"";"";"";"Yageo";"";"";"";"";"";"CC0805KRX7R9BB104";"SMD 0805";"";"";"";"";"";"";"";"";
"2";"100u";"CC0805KRX7R9BB104";"CAP_0805";"C16, C17";"CAP CER 0.1UF 50V X7R 0805";"";"";"PCBLayout.com";"";"";"311-1140-2-ND";"";"";"";"Yageo";"";"";"";"";"";"CC0805KRX7R9BB104";"SMD 0805";"";"";"";"";"";"";"";"";
"1";"10k";"CRCW08050000Z0EA";"RES_0805";"R1";"RES SMD 0 OHM JUMPER 1/8W 0805";"";"";"PCBLayout.com";"";"";"541-0.0ATR-ND";"";"";"";"Vishay Dale";"";"";"";"";"";"CRCW08050000Z0EA";"SMD 0805";"";"";"";"";"";"";"";"";
"10";"10u";"CC0805KRX7R9BB104";"CAP_0805";"C5, C6, C7, C8, C9, C10, C11, C12, C13, C18";"CAP CER 0.1UF 50V X7R 0805";"";"";"PCBLayout.com";"";"";"311-1140-2-ND";"";"";"";"Yageo";"";"";"";"";"";"CC0805KRX7R9BB104";"SMD 0805";"";"";"";"";"";"";"";"";
"1";"1N4007S";"1N4007S";"DIOAD1470W65L470D250";"D1";"Rectifiers 1A,1000V,Std SILASTIC Rect";"";"";"";"";"Rectifiers 1A,1000V,Std SILASTIC Rect";"";"";"mm";"";"";"Taiwan Semiconductor";"1N4007S";"";"821-1N4007S";"http://www.mouser.com/Search/ProductDetail.aspx?qs=tHU%2flV7kTySzKYFlWk%2f8oQ%3d%3d";"";"";"";"";"";"";"";"";"";"";
"1";"1uF";"CC0805KRX7R9BB104";"CAP_0805";"C2";"CAP CER 0.1UF 50V X7R 0805";"";"";"PCBLayout.com";"";"";"311-1140-2-ND";"";"";"";"Yageo";"";"";"";"";"";"CC0805KRX7R9BB104";"SMD 0805";"";"";"";"";"";"";"";"";
"4";"2N1711";"2N1711";"TO39";"Q1, Q2, Q3, Q5";"NPN Transistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";
"4";"330";"CRCW08050000Z0EA";"RES_0805";"R6, R7, R8, R9";"RES SMD 0 OHM JUMPER 1/8W 0805";"";"";"PCBLayout.com";"";"";"541-0.0ATR-ND";"";"";"";"Vishay Dale";"";"";"";"";"";"CRCW08050000Z0EA";"SMD 0805";"";"";"";"";"";"";"";"";
"2";"33p";"CC0805KRX7R9BB104";"CAP_0805";"C3, C4";"CAP CER 0.1UF 50V X7R 0805";"";"";"PCBLayout.com";"";"";"311-1140-2-ND";"";"";"";"Yageo";"";"";"";"";"";"CC0805KRX7R9BB104";"SMD 0805";"";"";"";"";"";"";"";"";
"1";"470uF";"CC0805KRX7R9BB104";"CAP_0805";"C1";"CAP CER 0.1UF 50V X7R 0805";"";"";"PCBLayout.com";"";"";"311-1140-2-ND";"";"";"";"Yageo";"";"";"";"";"";"CC0805KRX7R9BB104";"SMD 0805";"";"";"";"";"";"";"";"";
"1";"4Mhz";"5032/2P";"5032/2P";"X1";"Crystal";"";"";"PCBLayout.com";"";"";"";"";"";"";"Xinhunjing";"";"";"";"";"";"5032/2P";"SMD";"";"";"";"";"";"";"";"";
"1";"694106301002";"694106301002";"694106301002";"J1";"CONN PWR JACK 2.1X5.5MM SOLDER";"";"";"PCBLayout.com";"";"";"732-5930-ND";"";"";"";"Wurth Electronics Inc.";"";"";"";"";"";"694106301002";"";"";"";"";"";"";"";"";"";
"2";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"U$5, U$6";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
